"","baker","age","occupation","hometown","season"
"39","Claire Goodwin",31,"Speech Therapist","Ashton upon Mersey, Trafford","5"
"40","Diana Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire","5"
"41","Enwezor Nzegwu",39,"Business Consultant","Portsmouth, Hampshire","5"
"42","Iain Watters",31,"Construction Engineer","London/Belfast","5"
"43","Jordan Cox",32,"IT Manager","Sneinton, Nottingham","5"
"44","Kate Henry",41,"Furniture Restorer","Brighton, East Sussex","5"
"45","Luis Troyano",42,"Graphic Designer","Poynton, Cheshire","5"
"46","Martha Collison",17,"Student","Ascot, Berkshire","5"
"47","Nancy Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","5"
"48","Norman Calder",66,"Retired Naval Officer","Portknockie, Moray","5"
"49","Richard Burr",38,"Builder","Mill Hill, London","5"
"50","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire","6"
"51","Dorret Conway",53,"Accountant","Penwortham, Lancashire","6"
"52","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross","6"
"53","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire","6"
"54","Marie Campbell",66,"Retired","Auchterarder, Perthshire","6"
"55","Mat Riley",37,"Fire fighter","London","6"
"56","Nadiya Hussain",30,"Full-time mother","Leeds / Luton","6"
"57","Paul Jagger",49,"Prison governor","Swansea, Wales","6"
"58","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire","6"
"59","Stu Henshall",35,"Professional musician","Guildford, Surrey","6"
"60","Tamal Ray",29,"Trainee anaesthetist","Manchester","6"
"61","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","6"
"62","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","7"
"63","Benjamina Ebuehi",23,"Teaching assistant","South London","7"
"64","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire","7"
"65","Jane Beedle",61,"Garden designer","Beckenham","7"
"66","Kate Barmby",37,"Nurse","Brooke, Norfolk","7"
"67","Lee Banfield",67,"Pastor","Bolton","7"
"68","Louise Williams",46,"Hairdresser","Cardiff","7"
"69","Michael Georgiou",20,"Student","Durham","7"
"70","Rav Bansal",28,"Student support","Erith","7"
"71","Selasi Gbormittah",30,"Client service associate","London","7"
"72","Tom Gilliford",26,"Project engagement manager","Rochdale","7"
"73","Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher","Yeovil","7"
"74","Ali Imdad",25,"Charity worker","Saltley, Birmingham","8"
"75","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","8"
"76","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","8"
"77","Deborah Manger",51,"Dentist","Peterborough","8"
"78","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","8"
"79","Glenn Cosby",37,"English Teacher","Teignmouth, Devon","8"
"80","Howard Middleton",51,"Council Worker","Sheffield","8"
"81","Kimberley Wilson",30,"Psychologist","London","8"
"82","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire","8"
"83","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes","8"
"84","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","8"
"85","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","8"
"86","Toby Waterworth",30,"Web Programmer","Reading, Berkshire","8"
"87","Antony Amourdoux",30,"Banker","London","9"
"88","Briony Williams",33,"Stay at home parent","Bristol","9"
"89","Dan Beasley-Harling",36,"Stay at home parent","London","9"
"90","Imelda McCarron",33,"Countryside recreation officer","County Tyrone","9"
"91","Jon Jenkins",47,"Blood courier","Newport","9"
"92","Karen Wright",60,"In-store sampling assistant","Wakefield","9"
"93","Kim-Joy Hewlett",27,"Mental health specialist","Leeds","9"
"94","Luke Thompson",30,"Civil servant/house and techno DJ","Sheffield","9"
"95","Manon Lagrève",26,"Software project manager","London","9"
"96","Rahul Mandal",30,"Research scientist","Rotherham","9"
"97","Ruby Bhogal",29,"Project manager","London","9"
"98","Terry Hartill",56,"Retired air steward","West Midlands","9"
"99","Alice Fevronia",28,"Geography teacher","Essex","10"
"100","Amelia Le Bruin",24,"Fashion designer","Halifax","10"
"101","Dan Chambers",32,"Support worker","Rotherham","10"
"102","David Atherton",36,"International health adviser","Whitby","10"
"103","Helena Garcia",40,"Online project manager","Leeds","10"
"104","Henry Bird",20,"Student","Durham","10"
"105","Jamie Finn",20,"Part-time waiter","Surrey","10"
"106","Michael Chakraverty",26,"Theatre manager/fitness instructor","Stratford-upon-Avon","10"
"107","Michelle Evans-Fecci",35,"Print shop administrator","Tenby, Wales","10"
"108","Phil Thorne",56,"HGV driver","Rainham","10"
"109","Priya O'Shea",34,"Marketing consultant","Leicester","10"
"110","Rosie Brandreth-Poynter",28,"Veterinary surgeon","Somerset","10"
"111","Steph Blackwell",28,"Shop assistant","Chester","10"
"112","Dave Friday",30,"Armoured security guard","Waterlooville, Hampshire","11"
"113","Hermine",39,"Accountant","London","11"
"114","Laura Adlington",31,"Digital manager","Gravesend, Kent","11"
"115","Linda Rayfield",61,"Retirement living team leader","Bexhill-on-Sea, East Sussex","11"
"116","Loriea Campbell-Clarey",27,"Diagnostic radiographer","Durham","11"
"117","Lottie Bedlow",31,"Pantomime producer","West Sussex","11"
"118","Makbul ""Mak"" Patel",51,"Accountant","Manchester","11"
"119","Marc Elliott",51,"Bronze resin sculptor","St Eval, Cornwall","11"
"120","Mark Lutton",32,"Project manager","Portadown, Northern Ireland","11"
"121","Peter Sawkins",20,"Accounting & finance student","Edinburgh","11"
"122","Rowan Williams",55,"Music teacher","Pershore, Worcestershire","11"
"123","Sura Mitib",31,"Hospital pharmacy dispenser","London","11"
"124","Dave Friday",30,"Armoured security guard","Waterlooville, Hampshire","12"
"125","Hermine",39,"Accountant","London","12"
"126","Laura Adlington",31,"Digital manager","Gravesend, Kent","12"
"127","Linda Rayfield",61,"Retirement living team leader","Bexhill-on-Sea, East Sussex","12"
"128","Loriea Campbell-Clarey",27,"Diagnostic radiographer","Durham","12"
"129","Lottie Bedlow",31,"Pantomime producer","West Sussex","12"
"130","Makbul ""Mak"" Patel",51,"Accountant","Manchester","12"
"131","Marc Elliott",51,"Bronze resin sculptor","St Eval, Cornwall","12"
"132","Mark Lutton",32,"Project manager","Portadown, Northern Ireland","12"
"133","Peter Sawkins",20,"Accounting & finance student","Edinburgh","12"
"134","Rowan Williams",55,"Music teacher","Pershore, Worcestershire","12"
"135","Sura Mitib",31,"Hospital pharmacy dispenser","London","12"
