"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"John","Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","5th","Did not complete due to injury[1]",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"Ryan","Chocolate FondantsSticky Ginger and Date Puddings","6th","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"Sarah-Jane","Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","4th","Sweet Strudel with Sour Cherries",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ","3"
"Brendan","Chelsea Bunskis","4th","Black Forest Christmas Stollen",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"Cathryn","Lady Arundel's Manchet Buns","5th","Bonfire Night Tear 'N' Share Brioche",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"Danny","Bakewell Chelsea Buns","2nd","European Christmas Wreath",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"James","Easter Chelsea Buns","1st","Whisky Kugelhopf-Brioche Baba",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"John","Cherry and Almond Saffron Buns","3rd","Marzipan Stollen",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"Ryan","Lardy Cakes","6th","Char Siu Bao",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"Sarah-Jane","Orange, Nutmeg and Saffron Buns","7th","Sour Cherry and Dark Chocolate Christmas Plait",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ","3"
"Brendan","Multi-Seed Savoury Crackers","2nd","Fantasy Gingerbread Bird House",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ","3"
"Cathryn","Cheese and Pickle Crackers","5th","Gingerbread Buckingham Palace",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ","3"
"Danny","Spiced Almond Drinks Crackers","4th","Gingerbread Big Ben",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ","3"
"James","Smoky Cayenne, Cumin and Chilli Crackers","1st","Gingerbread Barn",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ","3"
"John","Asian Spice Crackers","3rd","Gingerbread Roman Coliseum",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ","3"
"Brendan","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","3rd","Gateau St. Honoré",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ","3"
"Danny","Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","4th","Rosewater and Lychee Gateau St. Honoré",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ","3"
"James","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons","1st","Coffee, Caramel and Hazelnut Paris–Brest",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ","3"
"John","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons","2nd","Gateau St. Honoré a la Passion",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ","3"
"Brendan","Potato and Pepper Pithivier","2nd","Family Reunion Chiffon Cake",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ","3"
"James","Spanish Pithivier with Chorizo and Red Pepper","1st","United Chiffon Cakes",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ","3"
"John","Italian Sausage and Roasted Vegetable Pithivier","2nd","Heaven and Hell Chiffon Cake",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ","3"
"Ali","Rose and Pistachio Cake","11th","Chocolate, Raspberry and Passion Fruit Engagement Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Beca","Grapefruit Sandwich Cake","8th","Chocolate Cherry Indulgence",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Christine","Strawberry, Vanilla and Rosewater Summer Basket","3rd","Chocolate and Orange 'Fripperous' Hat Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Deborah","Pineapple Cake","9th","'Coffee Time'",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Frances","Giant Jam Sandwich","7th","Secret Squirrel Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Glenn","Strawberries and Cream Cake","4th","Almond and Espresso Chocolate Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Howard","Gluten Free Passion Fruit and Coconut Cake","6th","Black Forest Revisited",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Kimberley","Blood Orange Cake","10th","Chocolate, Raspberry & Basil Layer Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Lucy","Timperley Early Cake","2nd","Thyme 'Wildwood' Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Mark","Lemon and Poppy Seed Cake","5th","Chocolate Monster",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Robert","Pecan and Apple Cake","1st","Raspberry Chocolate Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Ruby","Rhubarb and Custard Sandwich Cake","12th","Chocolate and Ginger Night Sky Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Toby","Spiced and Iced Carrot Cake","13th","Two Tiered Chocolate Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ","4"
"Ali","Italian Grissini","9th","Sweet and Savoury Yin Yang Bread",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ","4"
"Beca","Fennel and Chilli Breadsticks","11th","Five Strand Christmas Wreath",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ","4"
"Christine","Mediterranean Breadsticks with Oregano","4th","Double Plaited Loaf",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ","4"
"Deborah","Fennel & Chilli Breadsticks","8th","Walnut Fleur Loaf",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ","4"
"Frances","Giant Matchsticks","2nd","Sailor's Knot",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ","4"
