"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"Sandy","Chocolate Chunk and Hazelnut Biscotti","4th","Sundried Tomato Cheese Biscuit Box",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ","6"
"Tamal","Cinnamon, Maple and Cranberry Biscotti","8th","Chessboard Box",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ","6"
"Ugnė","White Wine Biscotti","7th","Baby Climbing into the Cookie Box",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ","6"
"Alvin","Prosciutto, Manchego and Balsamic Onion Soda Breads","4th","Cornucopia",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Dorret","Walnut and Stilton Soda Breads","6th","Unmade Bread",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Flora","Fig and Hazelnut Rye Breads","2nd","Herb Couture",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Ian","Wild Garlic Pesto Soda Breads","1st","Flour Power",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Mat","Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","8th","Curry Inspired Brighton Pavilion",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Nadiya","Mexican Bread with Warm Tomato Salsa","9th","Snake Charmer's Basket",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Paul","Cranberry and Orange Sweet Soda Breads","10th","King of the Jungle*",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Sandy","Soda Breads with Smoked Bacon and Onion","7th","Basket of Bread Flowers with a Walnut and Blue Cheese Centre",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Tamal","Fig, Cheese and Walnut Breads","3rd","Breadcycle",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Ugnė","Chocolate Quick Breads with Salted Caramel Sauce","5th","Easter Basket",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ","6"
"Alvin","Blackberry Crème Brûlées","9th","Tower of Fruits Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Flora","Rhubarb and Ginger Crème Brûlées","3rd","Elderflower and Granola Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Ian","Pomegranate Two Ways Crème Brûlées","4th","Trio of Spicy and Herby Baked Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Mat","Coconut Crème Brûlées","7th","Chocolate Bar Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Nadiya","Cinnamon Tea Crème Brûlées","8th","Fizzy Pop Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Paul","Almond Crème Brûlées","1st","Berry Cheesecake Tower",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Sandy","Pontefract Crème Brûlées","6th","Cassata, Whisky and Orange & Apple Pie Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Tamal","Rhubarb and Ginger Crème Brûlées","5th","Mango, Hazelnut and Rosemary Cheesecake Trio",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Ugnė","Marula Fruit and Coffee Liqueur Crème Brûlées","2nd","Lime, Coconut and Hazelnut Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ","6"
"Alvin","Pineapple Upside Down Cake","8th","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Flora","Pistachio, Apple and Cardamom Madeleine Cake","3rd","Chocolate and Pear Bûche",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Ian","Honey and Flowers Cake","5th","Dessert Island",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Mat","Sugar Free Carrot Cake","4th","Raspberry & Coconut Ice Cream Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Nadiya","Naked Blueberry and Caraway Crunch Cake","1st","Chocolate and Strawberry Lime Ice Cream Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Paul","Carrot & Pecan Cake","2nd","Dessert Island Getaway",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Tamal","Honey and Grapefruit Polenta Cake","7th","Passion Fruit and Pineapple Ice Cream Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Ugnė","Chocolate and Hazelnut Sugar-Free Cake","6th","Chocolate, Peanut Butter and Grape Jam Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ","6"
"Alvin","Plum Frangipane Tart","6th","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Flora","Apricot and Rosemary Frangipane Tart","2nd","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Ian","Pear and Raspberry Frangipane Tart","3rd","vol-au-vents Terre et Mer",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Mat","Piña Colada Frangipane Tart","1st","His 'n' Hers Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Nadiya","Bay Leaf, Rong Tea and Pear Tart","4th","Bengali Korma and Clementine with Cod Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Paul","Christmas Frangipane Tart","5th","Savoury and Sweet Bouchées",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Tamal","Spiced Pear Frangipane Tart","7th","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ","6"
"Flora","Game Pie with Shallot and Apple Chutney","4th","Raspberry, Pomegranate and Champagne Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Ian","Roadkill Pie","5th","Victoria's Crown Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Mat","Raised Venison and Pigeon Pie","6th","Strawberry Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Nadiya","Aromatic Raised Game Pie","1st","Mango and Raspberry Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Paul","Not a Boaring Pie","2nd","Charlotte Rose",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Tamal","Middle Eastern Game Pie","3rd","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ","6"
"Flora","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","3rd","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ","6"
"Ian","Mont Blanc & Black Forest Gâteau Horns","2nd","Nun with Hidden Passions",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ","6"
"Nadiya","Rose Pistachio and Mocha Hazelnut Horns","1st","Bubble Gum and Peppermint Cream Religieuse à l'ancienne",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ","6"
"Paul","Café Tipple & Banana Crunch-away Horns","5th","Religieuse à l'ancienne",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ","6"
"Tamal","Lime & Mascarpone and Malt Cream Horns","4th","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ","6"
"Flora","Passion Fruit and Chocolate Tart","1st","Cocoa Carousel",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ","6"
"Ian","Chocolate and Bay Tart","3rd","Chocolate Well",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ","6"
"Nadiya","Peanut Salted Caramel and Chocolate Tart","4th","Peacock in Nan's Door",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ","6"
"Tamal","Chocolate New York Pie","2nd","Chocolate Bell Tower",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ","6"
"Ian","Elderflower and Lemon & Spiced Buns","2nd","Colossal Curvy Carrot Cake",10,"16 Iced Buns ","Mille Feuille ","Classic British Cake ","6"
"Nadiya","Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","1st","My Big Fat British Wedding Cake",10,"16 Iced Buns ","Mille Feuille ","Classic British Cake ","6"
"Tamal","Cinnamon and Apple & Toffee and Marmalade Iced Buns","3rd","Sticky Toffee Pudding Cake",10,"16 Iced Buns ","Mille Feuille ","Classic British Cake ","6"
"Andrew","Lemon and Rosemary Drizzle Cake","12th","'Ultimate Indulgence' Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Benjamina","Pistachio, Cardamom and Lemon Drizzle Cake","6th","White Chocolate Mirror Glaze with Salted Praline Buttercream",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Candice","Raspberry and Rhubarb Drizzle Custard Bundt Cake","5th","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Jane","Lemon and Poppy Seed Drizzle Cake","7th","Chocolate Orange Mirror Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Kate","Berry Best Apple and Bramble Drizzle Cake","4th","One Swallow Does Not Make A Summer Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Lee","St. Clements Orange and Lemon Drizzle Cake","11th","Strawberry Surprise Mirror Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Louise","Orange Liqueur and Lemonade Drizzle Cake","9th","White Chocolate Trifle Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Michael","Lime, Ginger and Honey Drizzle Cake","3rd","Matcha Tea Chocolate Mirror Glaze",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Rav","Ginger Spice Yuzu Drizzle Cake","8th","Colombian Mocha Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Selasi","Citrus and Spice Drizzle Cake","1st","Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Tom","G&T Drizzle Cake","2nd","Black Forest Broken Mirror",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Val","Mum's Orange and Lemon Drizzle","10th","Chocolate Sponge with Four Fruit Frosting",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ","7"
"Andrew","Beehive Biscuits","4th","Punting in Cambridge",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Benjamina","Bouquet Biscuits","3rd","New York, New York",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Candice","Salted Caramel, Chocolate Iced Shiny Hearts","8th","Gingerbread Pub with Sticky Ginger Carpet",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Jane","Flower Pot Iced Biscuits","2nd","Hastings Old Town Fishing Net Shops and Boat",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Kate","""A Biscuit for the Broads""","1st","""I Promise I Will Do My Best""",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Louise","Baa Bara Brith Biscuits","10th","Gingerbread Wedding",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Michael","Malt, Chocolate and Orange Iced ""Beer"" Biscuits","9th","Trip to See Santa in Lapland",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Rav","Union Jack Bunting Biscuits","6th","Gingerbread Christmas Fairground",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Selasi","""Wheelie Hot Iced Biscuits""","11th","Stained Glass Window Gingerbread Church",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Tom","Chai Frappelatteccino Biscuits","7th","Tom and Pod's Near Death Experience",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Val","Sunday Treat Iced Ice Cream Cone Biscuits","5th","From Holland to New York via Yorkshire",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ","7"
"Andrew","Chocolate Barmbrack Bread","2nd","Braided Harvest Bread Basket",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Benjamina","Chocolate, Tahini and Almond Babka","6th","Braided Bread Heart",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Candice","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","3rd","Italian Light and Dark Rye Twist",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Jane","Chocolate and Cranberry Couronne","9th","Chorizo and Chilli Flower with Parmesan and Pesto Centre",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Kate","Cobbled Loaf","8th","The Corn Maiden",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Michael","Chocolate and Chilli Swirl Plait","7th","Cypriot Dove and Olive Branch Plaited Loaf with Houmous",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Rav","Chocolate, Cardamom and Hazelnut Loaf","10th","Three Tier Diwali Bread Centrepiece",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Selasi","Chocolate, Orange and Cinnamon Bread","5th","Bedouin Escape Tear and Share Bread",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Tom","Chocolate Orange and Chilli Swirl Bread","4th","Jörmungandr and Mjölnir",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Val","Double Chocolate Cinnamon Twist Loaf","1st","""And They All Went Into The Ark To Get Out Of The Rain""",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ","7"
"Andrew","Yorkshire 'Tapas' Puddings","4th","Churros Window Box",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Benjamina","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","1st","Tropical Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Candice","Yorkshire Wellingtons","2nd","Two-Way Peanut Butter Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Jane","Meat and Two Veg Yorkshires","3rd","Pistachio and White Chocolate Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Kate","Christmas Dinner Compromise","7th","Hot Cross Bunny Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Rav","Thai Tofu Panang Yorkshires","9th","Three Dip Matcha Pistachio Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Selasi","Perfect Sunday Roast Accompaniment","8th","Lemon and Anise Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Tom","West Yorkshire Fusion Puddings","5th","Fennel Churros Snake In The Grass",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Val","Mum's Chilli Yorkshire Puddings","6th","Orange Chocolate Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ","7"
"Andrew","Mum and Dad's Breakfast Pastries","6th","Spicy Chorizo Squash Parcels and Baklava Bites",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Benjamina","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","5th","Plantain and Spinach Samosas and Chai Pear Cups",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Candice","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","2nd","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Jane","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","1st","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Rav","Cinnamon Swirls and Pecan, Walnut and Maple Plaits","8th","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Selasi","Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","3rd","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Tom","Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","4th","Yin and Yang Amuse-bouche",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Val","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","7th","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ","7"
"Andrew","Tangy Lime and Ginger Meringue Pie","6th","Spring Elderflower Trio",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Benjamina","Grapefruit and Ginger Meringue Pie","2nd","Floral Tea Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Candice","Lime, Coconut and Lemongrass Sugar Meringue Pie","5th","Four Seasons Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Jane","Lime and Coconut Meringue Pie","4th","Three Tier Orange Cake with a Floral Chocolate Collar",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Rav","Mandarin Margarita Meringue Pie","3rd","Blossom Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Selasi","Grapefruit, Orange and Mint Meringue Pie","7th","Three Tiered Ombré Floral Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Tom","Blood Orange Halloween Pumpkin Pie","1st","Floral Tea Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ","7"
"Andrew","Tropical Holiday Roulade","1st","Childhood Ice Cream Mousse Cakes",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Benjamina","Piña Colada Roulade","3rd","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Candice","Crowd Pleaser Roulade","2nd","Blackberry and Raspberry Bubbles and After Dinner Mousse",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Jane","Chocolate and Hazelnut Roulade","4th","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombré Mousses",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Selasi","Summer Picnic Roulade","6th","Lemon, Raspberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Tom","Millionaire's Roulade","5th","Hipster Picnic",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ","7"
"Andrew","Da Vinci Inspired Geared Pies","2nd","Jousting Knights Marchpane",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ","7"
"Benjamina","Mexican Adventure","4th","Tudor Garden",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ","7"
"Candice","Cheesy Cheeky Fish Pies","1st","Peacock",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ","7"
"Jane","Tudor Rose Pies","5th","Swans",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ","7"
"Selasi","Bouquet of Flowers","3rd","Fruity Tudor Marchpane",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ","7"
"Andrew","Cheesy Elephant Ears and Herby Treble Clefs","2nd","Philharmonic Fondants",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ","7"
"Candice","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","3rd","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ","7"
"Jane","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","1st","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ","7"
"Selasi","Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","4th","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ","7"
"Andrew","Crunchy Caramel Cassis Crown","1st","Family and Friends' Favourites Picnic",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ","7"
"Candice","Queen Victoria's Mango and Strawberry Crown","2nd","Picnic for Pearly Kings and Queens",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ","7"
"Jane","Red, White and Blue Meringue Crown","3rd","Family Favourites Feast",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ","7"
"Chris","Tropical Fresh Fruit Cake","12th","'Raised Pork Pie and Egg Surprise' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Flo","Citrus Layer Cake","9th","'One in a Melon' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"James","Orange, Rhubarb & Ginger Crumble Cake","2nd","'Mock-accino and Croissant' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Julia","Courgette and Lemon Cake","3rd","'Russian Doll' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Kate","Moroccan Strawberry and Rose Cake","1st","'Chocolate Terrarium' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Liam","Apple and Almond Crumble Maple Loaf","8th","'Stackin' Sunday' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Peter","Coconut Cake","10th","'Bread on a Breadboard' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Sophie","Pineapple and Coconut Sandwich Cake","5th","'Champagne Bottle and Bucket' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Stacey","Granny Smith Apple and Walnut Cake","11th","'Black Evening Clutch Bag' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Steven","Bonfire Night Cake","6th","'A Baker's Lunch' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Tom","Gilded Pear and Cardamom Cake","7th","'Stack of Books' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Yan","Windfall Apple Crumble Cake","4th","'Banana-ramen' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ","8"
"Chris","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","11th","'The Great British Sail Off' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Flo","Gin Jam Butties","10th","'Pick My Bones' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"James","Rhubarb and Custard Whirls","3rd","'Coppit' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Julia","Middle Eastern Delight Sandwich Biscuits","4th","'A British Baking' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Kate","Coconut Seashells for a Titanic Afternoon Tea","8th","'Jungle' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Liam","Coffee Malted Pecan Shorties","7th","'Classroom Classics' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Sophie","Lemon Limoncino Sandwich Biscuits","2nd","'Snakes and Ladders' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Stacey","Sparkly Chocolate and Marshmallow Fluff Cookies","9th","'Get to School' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Steven","Amarpressi Biscuits","6th","'Check Bake' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Tom","Coffee and Amaretto Kisses","5th","'Drain Pipes and Ladders' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Yan","'Mrs. Marian's PB 'n' B' Biscuits","1st","'Adventures in Bakeland' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ","8"
"Flo","Cinnamon and Orange Teacakes","7th","'Davy Jones' Locker' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"James","Nordic Teacakes","9th","'Owl in the Woods' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Julia","Earl Grey Dried Fruit Teacakes","2nd","'The Snail Under a Mushroom' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Kate","Blueberry Buns","10th","'Kraken' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Liam","Jamaican Spiced Teacakes","5th","'Kneadapolitan' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
